,n,type,time
0,5,langrange,0.012945890426635742
1,5,newton,0.008974790573120117
2,5,numpy,0.003986835479736328
3,5,langrange,0.009974002838134766
4,5,newton,0.007947206497192383
5,5,numpy,0.004019498825073242
6,5,langrange,0.01096487045288086
7,5,newton,0.008011817932128906
8,5,numpy,0.00395655632019043
9,5,langrange,0.00997304916381836
10,5,newton,0.008975028991699219
11,5,numpy,0.005981922149658203
12,5,langrange,0.01196908950805664
13,5,newton,0.008974790573120117
14,5,numpy,0.006013154983520508
15,5,langrange,0.010939598083496094
16,5,newton,0.009974241256713867
17,5,numpy,0.004985809326171875
18,5,langrange,0.00994253158569336
19,5,newton,0.01000356674194336
20,5,numpy,0.0040094852447509766
21,5,langrange,0.010939836502075195
22,5,newton,0.008975028991699219
23,5,numpy,0.004956245422363281
24,5,langrange,0.010970115661621094
25,5,newton,0.009973287582397461
26,5,numpy,0.004985809326171875
27,5,langrange,0.011001825332641602
28,5,newton,0.008962869644165039
29,5,numpy,0.004984855651855469
30,6,langrange,0.018917322158813477
31,6,newton,0.013962030410766602
32,6,numpy,0.005983591079711914
33,6,langrange,0.018983840942382812
34,6,newton,0.017923355102539062
35,6,numpy,0.006980419158935547
36,6,langrange,0.018978595733642578
37,6,newton,0.016922712326049805
38,6,numpy,0.0059850215911865234
39,6,langrange,0.02094292640686035
40,6,newton,0.01795339584350586
41,6,numpy,0.0070116519927978516
42,6,langrange,0.0199124813079834
43,6,newton,0.016953468322753906
44,6,numpy,0.00698089599609375
45,6,langrange,0.020975112915039062
46,6,newton,0.014992713928222656
47,6,numpy,0.005953550338745117
48,6,langrange,0.020968198776245117
49,6,newton,0.014927387237548828
50,6,numpy,0.005049943923950195
51,6,langrange,0.020944833755493164
52,6,newton,0.013936758041381836
53,6,numpy,0.006011009216308594
54,6,langrange,0.022910118103027344
55,6,newton,0.016954421997070312
56,6,numpy,0.005806922912597656
57,6,langrange,0.021955251693725586
58,6,newton,0.0179593563079834
59,6,numpy,0.00995182991027832
60,7,langrange,0.03989458084106445
61,7,newton,0.03390765190124512
62,7,numpy,0.010965108871459961
63,7,langrange,0.03693270683288574
64,7,newton,0.02889251708984375
65,7,numpy,0.00900578498840332
66,7,langrange,0.03091740608215332
67,7,newton,0.021941423416137695
68,7,numpy,0.00795125961303711
69,7,langrange,0.0382082462310791
70,7,newton,0.0359041690826416
71,7,numpy,0.010969400405883789
72,7,langrange,0.046872615814208984
73,7,newton,0.03490591049194336
74,7,numpy,0.010968446731567383
75,7,langrange,0.04587697982788086
76,7,newton,0.025959491729736328
77,7,numpy,0.0059814453125
78,7,langrange,0.0329129695892334
79,7,newton,0.023967504501342773
80,7,numpy,0.005953550338745117
81,7,langrange,0.02988910675048828
82,7,newton,0.023934602737426758
83,7,numpy,0.006980419158935547
84,7,langrange,0.02888631820678711
85,7,newton,0.023936748504638672
86,7,numpy,0.007006168365478516
87,7,langrange,0.0348818302154541
88,7,newton,0.022953033447265625
89,7,numpy,0.0059833526611328125
90,8,langrange,0.04487872123718262
91,8,newton,0.037931203842163086
92,8,numpy,0.007948160171508789
93,8,langrange,0.04787111282348633
94,8,newton,0.03393983840942383
95,8,numpy,0.007949113845825195
96,8,langrange,0.04587578773498535
97,8,newton,0.03587031364440918
98,8,numpy,0.011002540588378906
99,8,langrange,0.0498354434967041
100,8,newton,0.04188799858093262
101,8,numpy,0.008009672164916992
102,8,langrange,0.045908212661743164
103,8,newton,0.03387904167175293
104,8,numpy,0.00897526741027832
105,8,langrange,0.044881582260131836
106,8,newton,0.035935401916503906
107,8,numpy,0.007984399795532227
108,8,langrange,0.04487967491149902
109,8,newton,0.032942771911621094
110,8,numpy,0.007947683334350586
111,8,langrange,0.04889988899230957
112,8,newton,0.03587055206298828
113,8,numpy,0.00797891616821289
114,8,langrange,0.04787135124206543
115,8,newton,0.0329127311706543
116,8,numpy,0.008008480072021484
117,8,langrange,0.04738259315490723
118,8,newton,0.034929752349853516
119,8,numpy,0.008975505828857422
120,9,langrange,0.06511211395263672
121,9,newton,0.05040717124938965
122,9,numpy,0.009974956512451172
123,9,langrange,0.06781673431396484
124,9,newton,0.048085927963256836
125,9,numpy,0.00997304916381836
126,9,langrange,0.06485724449157715
127,9,newton,0.06183266639709473
128,9,numpy,0.012961626052856445
129,9,langrange,0.07684803009033203
130,9,newton,0.05584883689880371
131,9,numpy,0.012965917587280273
132,9,langrange,0.07280802726745605
133,9,newton,0.05986952781677246
134,9,numpy,0.009964466094970703
135,9,langrange,0.07579684257507324
136,9,newton,0.052858829498291016
137,9,numpy,0.008975744247436523
138,9,langrange,0.0638282299041748
139,9,newton,0.049866676330566406
140,9,numpy,0.009979009628295898
141,9,langrange,0.06385922431945801
142,9,newton,0.05186128616333008
143,9,numpy,0.008976221084594727
144,9,langrange,0.06485748291015625
145,9,newton,0.048932552337646484
146,9,numpy,0.010969877243041992
147,9,langrange,0.06482529640197754
148,9,newton,0.04986691474914551
149,9,numpy,0.0109405517578125
150,10,langrange,0.09178400039672852
151,10,newton,0.06983518600463867
152,10,numpy,0.012933731079101562
153,10,langrange,0.08730697631835938
154,10,newton,0.06685400009155273
155,10,numpy,0.011967182159423828
156,10,langrange,0.09026336669921875
157,10,newton,0.06533122062683105
158,10,numpy,0.011968851089477539
159,10,langrange,0.0887291431427002
160,10,newton,0.06781697273254395
161,10,numpy,0.010936260223388672
162,10,langrange,0.08779692649841309
163,10,newton,0.07080912590026855
164,10,numpy,0.011968612670898438
165,10,langrange,0.09075736999511719
166,10,newton,0.06884503364562988
167,10,numpy,0.012935400009155273
168,10,langrange,0.09773659706115723
169,10,newton,0.06981277465820312
170,10,numpy,0.012967348098754883
171,10,langrange,0.09673738479614258
172,10,newton,0.06782412528991699
173,10,numpy,0.010968208312988281
174,10,langrange,0.09275221824645996
175,10,newton,0.07379937171936035
176,10,numpy,0.012964248657226562
177,10,langrange,0.09973406791687012
178,10,newton,0.0788731575012207
179,10,numpy,0.010968208312988281
180,11,langrange,0.11711955070495605
181,11,newton,0.09504508972167969
182,11,numpy,0.011967658996582031
183,11,langrange,0.11665868759155273
184,11,newton,0.09075713157653809
185,11,numpy,0.013962030410766602
186,11,langrange,0.11868143081665039
187,11,newton,0.09374833106994629
188,11,numpy,0.014957904815673828
189,11,langrange,0.12169027328491211
190,11,newton,0.10070562362670898
191,11,numpy,0.014959096908569336
192,11,langrange,0.12720274925231934
193,11,newton,0.1136937141418457
194,11,numpy,0.023936986923217773
195,11,langrange,0.20189881324768066
196,11,newton,0.15497326850891113
197,11,numpy,0.014959335327148438
198,11,langrange,0.12067580223083496
199,11,newton,0.08975934982299805
200,11,numpy,0.012965202331542969
201,11,langrange,0.11671638488769531
202,11,newton,0.10568666458129883
203,11,numpy,0.01299428939819336
204,11,langrange,0.1246347427368164
205,11,newton,0.10073089599609375
206,11,numpy,0.012936115264892578
207,11,langrange,0.12067627906799316
208,11,newton,0.09774351119995117
209,11,numpy,0.01695418357849121
210,12,langrange,0.160569429397583
211,12,newton,0.1208040714263916
212,12,numpy,0.016953229904174805
213,12,langrange,0.17021489143371582
214,12,newton,0.12313151359558105
215,12,numpy,0.014959096908569336
216,12,langrange,0.16436052322387695
217,12,newton,0.12418246269226074
218,12,numpy,0.013962745666503906
219,12,langrange,0.16356277465820312
220,12,newton,0.14158916473388672
221,12,numpy,0.015957355499267578
222,12,langrange,0.16755151748657227
223,12,newton,0.1296529769897461
224,12,numpy,0.01499032974243164
225,12,langrange,0.18646836280822754
226,12,newton,0.13460946083068848
227,12,numpy,0.01595330238342285
228,12,langrange,0.16958308219909668
229,12,newton,0.13344335556030273
230,12,numpy,0.015956878662109375
231,12,langrange,0.16132020950317383
232,12,newton,0.12591099739074707
233,12,numpy,0.014929533004760742
234,12,langrange,0.1605391502380371
235,12,newton,0.12366843223571777
236,12,numpy,0.013993263244628906
237,12,langrange,0.16452908515930176
238,12,newton,0.12768769264221191
239,12,numpy,0.014960289001464844
240,13,langrange,0.21103811264038086
241,13,newton,0.16356611251831055
242,13,numpy,0.025928020477294922
243,13,langrange,0.21393847465515137
244,13,newton,0.15329360961914062
245,13,numpy,0.016956329345703125
246,13,langrange,0.21445751190185547
247,13,newton,0.18547368049621582
248,13,numpy,0.01894974708557129
249,13,langrange,0.19647765159606934
250,13,newton,0.16153717041015625
251,13,numpy,0.017918825149536133
252,13,langrange,0.1974802017211914
253,13,newton,0.16353154182434082
254,13,numpy,0.02396559715270996
255,13,langrange,0.21994447708129883
256,13,newton,0.15358805656433105
257,13,numpy,0.018949270248413086
258,13,langrange,0.1874995231628418
259,13,newton,0.15857577323913574
260,13,numpy,0.017952919006347656
261,13,langrange,0.2154695987701416
262,13,newton,0.18197345733642578
263,13,numpy,0.01795029640197754
264,13,langrange,0.2007312774658203
265,13,newton,0.1525895595550537
266,13,numpy,0.01798224449157715
267,13,langrange,0.20448756217956543
268,13,newton,0.15355515480041504
269,13,numpy,0.015984773635864258
270,14,langrange,0.2513279914855957
271,14,newton,0.18161416053771973
272,14,numpy,0.0179595947265625
273,14,langrange,0.25594210624694824
274,14,newton,0.1864314079284668
275,14,numpy,0.01798415184020996
276,14,langrange,0.24813127517700195
277,14,newton,0.19444632530212402
278,14,numpy,0.02197408676147461
279,14,langrange,0.24733853340148926
280,14,newton,0.20046591758728027
281,14,numpy,0.017951488494873047
282,14,langrange,0.2622702121734619
283,14,newton,0.18949413299560547
284,14,numpy,0.02393651008605957
285,14,langrange,0.25486135482788086
286,14,newton,0.20242691040039062
287,14,numpy,0.017953157424926758
288,14,langrange,0.2438521385192871
289,14,newton,0.18949294090270996
290,14,numpy,0.01994466781616211
291,14,langrange,0.25632190704345703
292,14,newton,0.19454646110534668
293,14,numpy,0.017948627471923828
294,14,langrange,0.2299799919128418
295,14,newton,0.18009090423583984
296,14,numpy,0.017022132873535156
297,14,langrange,0.2311418056488037
298,14,newton,0.18407416343688965
299,14,numpy,0.01697564125061035
300,15,langrange,0.3068702220916748
301,15,newton,0.27948951721191406
302,15,numpy,0.0189516544342041
303,15,langrange,0.28145456314086914
304,15,newton,0.2351233959197998
305,15,numpy,0.02094411849975586
306,15,langrange,0.29102134704589844
307,15,newton,0.2270984649658203
308,15,numpy,0.01994800567626953
309,15,langrange,0.2826964855194092
310,15,newton,0.2473134994506836
311,15,numpy,0.020943641662597656
312,15,langrange,0.3120853900909424
313,15,newton,0.25078296661376953
314,15,numpy,0.021941184997558594
315,15,langrange,0.32256364822387695
316,15,newton,0.24186277389526367
317,15,numpy,0.01897907257080078
318,15,langrange,0.28113722801208496
319,15,newton,0.22838449478149414
320,15,numpy,0.01894378662109375
321,15,langrange,0.30176734924316406
322,15,newton,0.23983979225158691
323,15,numpy,0.02194046974182129
324,15,langrange,0.2811312675476074
325,15,newton,0.31549787521362305
326,15,numpy,0.022938013076782227
327,15,langrange,0.3126692771911621
328,15,newton,0.25731682777404785
329,15,numpy,0.020944595336914062
